annotation_count,api_path,artist_names,full_title,header_image_thumbnail_url,header_image_url,id,lyrics_owner_id,lyrics_state,path,pyongs_count,relationships_index_url,release_date_components,release_date_for_display,release_date_with_abbreviated_month_for_display,song_art_image_thumbnail_url,song_art_image_url,stats,title,title_with_featured,url,featured_artists,primary_artist,stat_unreviewed_annotations,stat_hot,stat_pageviews,stat_concurrents,primary_artist_api_path,primary_artist_header_image_url,primary_artist_id,primary_artist_image_url,primary_artist_is_meme_verified,primary_artist_is_verified,primary_artist_name,primary_artist_url,primary_artist_iq
6,/songs/5827731,BTS,Dynamite by BTS,https://images.genius.com/df009633e4702b3838c793c7fd97adf3.300x300x1.png,https://images.genius.com/df009633e4702b3838c793c7fd97adf3.1000x1000x1.png,5827731,3489629,complete,/Bts-dynamite-lyrics,298.0,https://genius.com/Bts-dynamite-sample,"{'year': 2020, 'month': 8, 'day': 21}","August 21, 2020","Aug. 21, 2020",https://images.genius.com/df009633e4702b3838c793c7fd97adf3.300x300x1.png,https://images.genius.com/df009633e4702b3838c793c7fd97adf3.1000x1000x1.png,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 4159588}",Dynamite,Dynamite,https://genius.com/Bts-dynamite-lyrics,[],"{'api_path': '/artists/70113', 'header_image_url': 'https://images.genius.com/003c7e55450a3ef96d0aef0a229dfa80.1000x667x1.jpg', 'id': 70113, 'image_url': 'https://images.genius.com/07ac668b1493f2de64ec854f5b20361e.800x800x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'BTS', 'url': 'https://genius.com/artists/Bts'}",0,False,4159588,,/artists/70113,https://images.genius.com/003c7e55450a3ef96d0aef0a229dfa80.1000x667x1.jpg,70113,https://images.genius.com/07ac668b1493f2de64ec854f5b20361e.800x800x1.jpg,False,False,BTS,https://genius.com/artists/Bts,
13,/songs/6746160,BTS,Butter by BTS,https://images.genius.com/7aaf44fef39c557a691c0b447879077d.300x300x1.png,https://images.genius.com/7aaf44fef39c557a691c0b447879077d.1000x1000x1.png,6746160,4635946,complete,/Bts-butter-lyrics,286.0,https://genius.com/Bts-butter-sample,"{'year': 2021, 'month': 5, 'day': 21}","May 21, 2021","May. 21, 2021",https://images.genius.com/7aaf44fef39c557a691c0b447879077d.300x300x1.png,https://images.genius.com/7aaf44fef39c557a691c0b447879077d.1000x1000x1.png,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 3531657}",Butter,Butter,https://genius.com/Bts-butter-lyrics,[],"{'api_path': '/artists/70113', 'header_image_url': 'https://images.genius.com/003c7e55450a3ef96d0aef0a229dfa80.1000x667x1.jpg', 'id': 70113, 'image_url': 'https://images.genius.com/07ac668b1493f2de64ec854f5b20361e.800x800x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'BTS', 'url': 'https://genius.com/artists/Bts'}",0,False,3531657,,/artists/70113,https://images.genius.com/003c7e55450a3ef96d0aef0a229dfa80.1000x667x1.jpg,70113,https://images.genius.com/07ac668b1493f2de64ec854f5b20361e.800x800x1.jpg,False,False,BTS,https://genius.com/artists/Bts,
6,/songs/3821292,Genius English Translations,BTS – 봄날 (Spring Day) (English Translation) by Genius English Translations,https://images.genius.com/08883e7b6196fddaab9de4027f105008.300x129x1.jpg,https://images.genius.com/08883e7b6196fddaab9de4027f105008.1000x431x1.jpg,3821292,4650044,complete,/Genius-english-translations-bts-spring-day-english-translation-lyrics,43.0,https://genius.com/Genius-english-translations-bts-spring-day-english-translation-sample,"{'year': 2017, 'month': 2, 'day': 13}","February 13, 2017","Feb. 13, 2017",https://images.genius.com/4561dddd252b309a2cdfb94368d19a6e.300x300x1.jpg,https://images.genius.com/4561dddd252b309a2cdfb94368d19a6e.600x600x1.jpg,"{'unreviewed_annotations': 5, 'concurrents': 3, 'hot': False, 'pageviews': 2147368}",BTS – 봄날 (Spring Day) (English Translation),BTS – 봄날 (Spring Day) (English Translation),https://genius.com/Genius-english-translations-bts-spring-day-english-translation-lyrics,[],"{'api_path': '/artists/196943', 'header_image_url': 'https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png', 'id': 196943, 'image_url': 'https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius English Translations', 'url': 'https://genius.com/artists/Genius-english-translations'}",5,False,2147368,3.0,/artists/196943,https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png,196943,https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png,False,False,Genius English Translations,https://genius.com/artists/Genius-english-translations,
14,/songs/3788502,Genius English Translations,BTS - Magic Shop (English Translation) by Genius English Translations,https://images.genius.com/17ec7a755c21bdc7370645f5766d5513.300x300x1.jpg,https://images.genius.com/17ec7a755c21bdc7370645f5766d5513.820x820x1.jpg,3788502,104344,complete,/Genius-english-translations-bts-magic-shop-english-translation-lyrics,40.0,https://genius.com/Genius-english-translations-bts-magic-shop-english-translation-sample,"{'year': 2018, 'month': 5, 'day': 18}","May 18, 2018","May. 18, 2018",https://images.genius.com/17ec7a755c21bdc7370645f5766d5513.300x300x1.jpg,https://images.genius.com/17ec7a755c21bdc7370645f5766d5513.820x820x1.jpg,"{'unreviewed_annotations': 11, 'hot': False, 'pageviews': 1811540}",BTS - Magic Shop (English Translation),BTS - Magic Shop (English Translation),https://genius.com/Genius-english-translations-bts-magic-shop-english-translation-lyrics,[],"{'api_path': '/artists/196943', 'header_image_url': 'https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png', 'id': 196943, 'image_url': 'https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius English Translations', 'url': 'https://genius.com/artists/Genius-english-translations'}",11,False,1811540,,/artists/196943,https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png,196943,https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png,False,False,Genius English Translations,https://genius.com/artists/Genius-english-translations,
3,/songs/3788496,Genius English Translations,BTS - FAKE LOVE (English Translation) by Genius English Translations,https://images.genius.com/256f2f80e7bbead6ba9c469464a049ce.300x300x1.jpg,https://images.genius.com/256f2f80e7bbead6ba9c469464a049ce.787x787x1.jpg,3788496,4420277,complete,/Genius-english-translations-bts-fake-love-english-translation-lyrics,40.0,https://genius.com/Genius-english-translations-bts-fake-love-english-translation-sample,"{'year': 2018, 'month': 5, 'day': 18}","May 18, 2018","May. 18, 2018",https://images.genius.com/256f2f80e7bbead6ba9c469464a049ce.300x300x1.jpg,https://images.genius.com/256f2f80e7bbead6ba9c469464a049ce.787x787x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 1700031}",BTS - FAKE LOVE (English Translation),BTS - FAKE LOVE (English Translation),https://genius.com/Genius-english-translations-bts-fake-love-english-translation-lyrics,[],"{'api_path': '/artists/196943', 'header_image_url': 'https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png', 'id': 196943, 'image_url': 'https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius English Translations', 'url': 'https://genius.com/artists/Genius-english-translations'}",0,False,1700031,,/artists/196943,https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png,196943,https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png,False,False,Genius English Translations,https://genius.com/artists/Genius-english-translations,
9,/songs/3788498,Genius English Translations,BTS - 전하지 못한 진심 (The Truth Untold) ft. Steve Aoki (English Translation) by Genius English Translations,https://images.genius.com/17ec7a755c21bdc7370645f5766d5513.300x300x1.jpg,https://images.genius.com/17ec7a755c21bdc7370645f5766d5513.820x820x1.jpg,3788498,4420277,complete,/Genius-english-translations-bts-the-truth-untold-ft-steve-aoki-english-translation-lyrics,46.0,https://genius.com/Genius-english-translations-bts-the-truth-untold-ft-steve-aoki-english-translation-sample,"{'year': 2018, 'month': 5, 'day': 18}","May 18, 2018","May. 18, 2018",https://images.genius.com/17ec7a755c21bdc7370645f5766d5513.300x300x1.jpg,https://images.genius.com/17ec7a755c21bdc7370645f5766d5513.820x820x1.jpg,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 1641572}",BTS - 전하지 못한 진심 (The Truth Untold) ft. Steve Aoki (English Translation),BTS - 전하지 못한 진심 (The Truth Untold) ft. Steve Aoki (English Translation),https://genius.com/Genius-english-translations-bts-the-truth-untold-ft-steve-aoki-english-translation-lyrics,[],"{'api_path': '/artists/196943', 'header_image_url': 'https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png', 'id': 196943, 'image_url': 'https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius English Translations', 'url': 'https://genius.com/artists/Genius-english-translations'}",2,False,1641572,,/artists/196943,https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png,196943,https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png,False,False,Genius English Translations,https://genius.com/artists/Genius-english-translations,
21,/songs/4453314,Genius Romanizations,BTS - 작은 것들을 위한 시 (Boy With Luv) ft. Halsey (Romanized) by Genius Romanizations,https://images.genius.com/1f33fe65273ba317dad49537a4d1092e.300x300x1.png,https://images.genius.com/1f33fe65273ba317dad49537a4d1092e.841x841x1.png,4453314,4420277,complete,/Genius-romanizations-bts-boy-with-luv-ft-halsey-romanized-lyrics,60.0,https://genius.com/Genius-romanizations-bts-boy-with-luv-ft-halsey-romanized-sample,"{'year': 2019, 'month': 4, 'day': 12}","April 12, 2019","Apr. 12, 2019",https://images.genius.com/1f33fe65273ba317dad49537a4d1092e.300x300x1.png,https://images.genius.com/1f33fe65273ba317dad49537a4d1092e.841x841x1.png,"{'unreviewed_annotations': 11, 'concurrents': 2, 'hot': False, 'pageviews': 1397264}",BTS - 작은 것들을 위한 시 (Boy With Luv) ft. Halsey (Romanized),BTS - 작은 것들을 위한 시 (Boy With Luv) ft. Halsey (Romanized),https://genius.com/Genius-romanizations-bts-boy-with-luv-ft-halsey-romanized-lyrics,[],"{'api_path': '/artists/1507735', 'header_image_url': 'https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png', 'id': 1507735, 'image_url': 'https://images.genius.com/086f5809e96b133dd536982629e5844b.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius Romanizations', 'url': 'https://genius.com/artists/Genius-romanizations'}",11,False,1397264,2.0,/artists/1507735,https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png,1507735,https://images.genius.com/086f5809e96b133dd536982629e5844b.1000x1000x1.png,False,False,Genius Romanizations,https://genius.com/artists/Genius-romanizations,
12,/songs/3808586,Genius English Translations,BTS - Pied Piper (English Translation) by Genius English Translations,https://images.genius.com/9c2a9724c862553826e624d4782085c6.300x300x1.png,https://images.genius.com/9c2a9724c862553826e624d4782085c6.1000x1000x1.png,3808586,104344,complete,/Genius-english-translations-bts-pied-piper-english-translation-lyrics,26.0,https://genius.com/Genius-english-translations-bts-pied-piper-english-translation-sample,"{'year': 2017, 'month': 9, 'day': 18}","September 18, 2017","Sep. 18, 2017",https://images.genius.com/9c2a9724c862553826e624d4782085c6.300x300x1.png,https://images.genius.com/9c2a9724c862553826e624d4782085c6.1000x1000x1.png,"{'unreviewed_annotations': 12, 'concurrents': 2, 'hot': False, 'pageviews': 1354541}",BTS - Pied Piper (English Translation),BTS - Pied Piper (English Translation),https://genius.com/Genius-english-translations-bts-pied-piper-english-translation-lyrics,[],"{'api_path': '/artists/196943', 'header_image_url': 'https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png', 'id': 196943, 'image_url': 'https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius English Translations', 'url': 'https://genius.com/artists/Genius-english-translations'}",12,False,1354541,2.0,/artists/196943,https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png,196943,https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png,False,False,Genius English Translations,https://genius.com/artists/Genius-english-translations,
5,/songs/3690426,BTS,FAKE LOVE by BTS,https://images.genius.com/baa38abf7c2d7475218e3facfaa9a689.300x300x1.png,https://images.genius.com/baa38abf7c2d7475218e3facfaa9a689.999x999x1.png,3690426,5629029,complete,/Bts-fake-love-lyrics,203.0,https://genius.com/Bts-fake-love-sample,"{'year': 2018, 'month': 5, 'day': 18}","May 18, 2018","May. 18, 2018",https://images.genius.com/baa38abf7c2d7475218e3facfaa9a689.300x300x1.png,https://images.genius.com/baa38abf7c2d7475218e3facfaa9a689.999x999x1.png,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 1371169}",FAKE LOVE,FAKE LOVE,https://genius.com/Bts-fake-love-lyrics,[],"{'api_path': '/artists/70113', 'header_image_url': 'https://images.genius.com/003c7e55450a3ef96d0aef0a229dfa80.1000x667x1.jpg', 'id': 70113, 'image_url': 'https://images.genius.com/07ac668b1493f2de64ec854f5b20361e.800x800x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'BTS', 'url': 'https://genius.com/artists/Bts'}",0,False,1371169,,/artists/70113,https://images.genius.com/003c7e55450a3ef96d0aef0a229dfa80.1000x667x1.jpg,70113,https://images.genius.com/07ac668b1493f2de64ec854f5b20361e.800x800x1.jpg,False,False,BTS,https://genius.com/artists/Bts,
8,/songs/6156029,Genius English Translations,BTS - Life Goes On (English Translation) by Genius English Translations,https://images.genius.com/028f7c027fc85f04e7374640d8b22ef4.300x300x1.jpg,https://images.genius.com/028f7c027fc85f04e7374640d8b22ef4.1000x1000x1.jpg,6156029,6966926,complete,/Genius-english-translations-bts-life-goes-on-english-translation-lyrics,55.0,https://genius.com/Genius-english-translations-bts-life-goes-on-english-translation-sample,"{'year': 2020, 'month': 11, 'day': 20}","November 20, 2020","Nov. 20, 2020",https://images.genius.com/77680659719d5c4e23f4f2c5689b18ed.300x300x1.jpg,https://images.genius.com/77680659719d5c4e23f4f2c5689b18ed.1000x1000x1.jpg,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 1575774}",BTS - Life Goes On (English Translation),BTS - Life Goes On (English Translation),https://genius.com/Genius-english-translations-bts-life-goes-on-english-translation-lyrics,[],"{'api_path': '/artists/196943', 'header_image_url': 'https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png', 'id': 196943, 'image_url': 'https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius English Translations', 'url': 'https://genius.com/artists/Genius-english-translations'}",2,False,1575774,,/artists/196943,https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png,196943,https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png,False,False,Genius English Translations,https://genius.com/artists/Genius-english-translations,
1,/songs/8655457,Genius Romanizations,NewJeans - Ditto (Romanized) by Genius Romanizations,https://images.genius.com/fc3356a729e473d58ab437b5e076118f.300x300x1.jpg,https://images.genius.com/fc3356a729e473d58ab437b5e076118f.1000x1000x1.jpg,8655457,12748302,complete,/Genius-romanizations-newjeans-ditto-romanized-lyrics,8.0,https://genius.com/Genius-romanizations-newjeans-ditto-romanized-sample,"{'year': 2022, 'month': 12, 'day': 19}","December 19, 2022","Dec. 19, 2022",https://images.genius.com/fc3356a729e473d58ab437b5e076118f.300x300x1.jpg,https://images.genius.com/fc3356a729e473d58ab437b5e076118f.1000x1000x1.jpg,"{'unreviewed_annotations': 1, 'concurrents': 2, 'hot': False, 'pageviews': 671502}",NewJeans - Ditto (Romanized),NewJeans - Ditto (Romanized),https://genius.com/Genius-romanizations-newjeans-ditto-romanized-lyrics,[],"{'api_path': '/artists/1507735', 'header_image_url': 'https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png', 'id': 1507735, 'image_url': 'https://images.genius.com/086f5809e96b133dd536982629e5844b.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius Romanizations', 'url': 'https://genius.com/artists/Genius-romanizations'}",1,False,671502,2.0,/artists/1507735,https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png,1507735,https://images.genius.com/086f5809e96b133dd536982629e5844b.1000x1000x1.png,False,False,Genius Romanizations,https://genius.com/artists/Genius-romanizations,
1,/songs/8633401,NewJeans (뉴진스),Ditto by NewJeans (뉴진스),https://images.genius.com/fe2a9a7084a4ea254657e6f3bf1bae20.300x300x1.png,https://images.genius.com/fe2a9a7084a4ea254657e6f3bf1bae20.1000x1000x1.png,8633401,12748302,complete,/Newjeans-ditto-lyrics,8.0,https://genius.com/Newjeans-ditto-sample,"{'year': 2022, 'month': 12, 'day': 19}","December 19, 2022","Dec. 19, 2022",https://images.genius.com/fe2a9a7084a4ea254657e6f3bf1bae20.300x300x1.png,https://images.genius.com/fe2a9a7084a4ea254657e6f3bf1bae20.1000x1000x1.png,"{'unreviewed_annotations': 0, 'concurrents': 2, 'hot': False, 'pageviews': 369821}",Ditto,Ditto,https://genius.com/Newjeans-ditto-lyrics,[],"{'api_path': '/artists/3239944', 'header_image_url': 'https://images.genius.com/b8111d1525732688d55f29f5051a4b3e.720x540x1.jpg', 'id': 3239944, 'image_url': 'https://images.genius.com/ff736d30aff3a1dccc91b6c20bafb7d0.640x640x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'NewJeans (뉴진스)', 'url': 'https://genius.com/artists/Newjeans'}",0,False,369821,2.0,/artists/3239944,https://images.genius.com/b8111d1525732688d55f29f5051a4b3e.720x540x1.jpg,3239944,https://images.genius.com/ff736d30aff3a1dccc91b6c20bafb7d0.640x640x1.jpg,False,False,NewJeans (뉴진스),https://genius.com/artists/Newjeans,
1,/songs/9290740,Genius Romanizations,NewJeans - Super Shy (Romanized) by Genius Romanizations,https://images.genius.com/267b3c1095e86e682f1ac545b0ad2f2b.300x300x1.png,https://images.genius.com/267b3c1095e86e682f1ac545b0ad2f2b.1000x1000x1.png,9290740,17270590,complete,/Genius-romanizations-newjeans-super-shy-romanized-lyrics,3.0,https://genius.com/Genius-romanizations-newjeans-super-shy-romanized-sample,"{'year': 2023, 'month': 7, 'day': 7}","July 7, 2023","Jul. 7, 2023",https://images.genius.com/267b3c1095e86e682f1ac545b0ad2f2b.300x300x1.png,https://images.genius.com/267b3c1095e86e682f1ac545b0ad2f2b.1000x1000x1.png,"{'unreviewed_annotations': 1, 'hot': False, 'pageviews': 371722}",NewJeans - Super Shy (Romanized),NewJeans - Super Shy (Romanized),https://genius.com/Genius-romanizations-newjeans-super-shy-romanized-lyrics,[],"{'api_path': '/artists/1507735', 'header_image_url': 'https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png', 'id': 1507735, 'image_url': 'https://images.genius.com/086f5809e96b133dd536982629e5844b.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius Romanizations', 'url': 'https://genius.com/artists/Genius-romanizations'}",1,False,371722,,/artists/1507735,https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png,1507735,https://images.genius.com/086f5809e96b133dd536982629e5844b.1000x1000x1.png,False,False,Genius Romanizations,https://genius.com/artists/Genius-romanizations,
5,/songs/8655458,Genius English Translations,NewJeans - Ditto (English Translation) by Genius English Translations,https://images.genius.com/fc3356a729e473d58ab437b5e076118f.300x300x1.jpg,https://images.genius.com/fc3356a729e473d58ab437b5e076118f.1000x1000x1.jpg,8655458,17270590,complete,/Genius-english-translations-newjeans-ditto-english-translation-lyrics,2.0,https://genius.com/Genius-english-translations-newjeans-ditto-english-translation-sample,"{'year': 2022, 'month': 12, 'day': 19}","December 19, 2022","Dec. 19, 2022",https://images.genius.com/fc3356a729e473d58ab437b5e076118f.300x300x1.jpg,https://images.genius.com/fc3356a729e473d58ab437b5e076118f.1000x1000x1.jpg,"{'unreviewed_annotations': 5, 'hot': False, 'pageviews': 276279}",NewJeans - Ditto (English Translation),NewJeans - Ditto (English Translation),https://genius.com/Genius-english-translations-newjeans-ditto-english-translation-lyrics,[],"{'api_path': '/artists/196943', 'header_image_url': 'https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png', 'id': 196943, 'image_url': 'https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Genius English Translations', 'url': 'https://genius.com/artists/Genius-english-translations'}",5,False,276279,,/artists/196943,https://images.genius.com/e5afba664f84f0cadba65e3231dd57c7.1000x495x1.png,196943,https://images.genius.com/de32245e4abcb8be6c5d15aace40d53e.1000x1000x1.png,False,False,Genius English Translations,https://genius.com/artists/Genius-english-translations,
1,/songs/8541350,NewJeans (뉴진스),OMG by NewJeans (뉴진스),https://images.genius.com/2d0d84863056421e3faec7fe6666ac6d.300x300x1.png,https://images.genius.com/2d0d84863056421e3faec7fe6666ac6d.1000x1000x1.png,8541350,8280771,complete,/Newjeans-omg-lyrics,3.0,https://genius.com/Newjeans-omg-sample,"{'year': 2023, 'month': 1, 'day': 2}","January 2, 2023","Jan. 2, 2023",https://images.genius.com/2d0d84863056421e3faec7fe6666ac6d.300x300x1.png,https://images.genius.com/2d0d84863056421e3faec7fe6666ac6d.1000x1000x1.png,"{'unreviewed_annotations': 1, 'hot': False, 'pageviews': 287039}",OMG,OMG,https://genius.com/Newjeans-omg-lyrics,[],"{'api_path': '/artists/3239944', 'header_image_url': 'https://images.genius.com/b8111d1525732688d55f29f5051a4b3e.720x540x1.jpg', 'id': 3239944, 'image_url': 'https://images.genius.com/ff736d30aff3a1dccc91b6c20bafb7d0.640x640x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'NewJeans (뉴진스)', 'url': 'https://genius.com/artists/Newjeans'}",1,False,287039,,/artists/3239944,https://images.genius.com/b8111d1525732688d55f29f5051a4b3e.720x540x1.jpg,3239944,https://images.genius.com/ff736d30aff3a1dccc91b6c20bafb7d0.640x640x1.jpg,False,False,NewJeans (뉴진스),https://genius.com/artists/Newjeans,
